Russian,English
часть,part
история,history
искать,search
Только,only
полиция,police
мысль,thought
помогать,help
спрос,request
Добрый,kind
месяц,month
родной брат,brother
"покидать, оставлять",let
потому что,because
положить,to put
Любые,no
Оставь в одиночестве,leash
их,them
город,city
каждый,each
произнесенный,speak
приехал,come
должен,should
детка,baby
много времени,long time
время,hours
собираются,will
в течение,while
Встретимся снова,meet again
Любые,any
квадратный,square
разговаривать,speak
понял,understood
знал,knew
Мы,were
Предупреждение,Warning
Вот,here is
мог,could
кейс,case
давать,give
тип,type
их,their
дано,given
тренироваться,train
тело,body
место,place
глаза,eyes
способ,way
Ушел,listen
из которых,whose
найти,find
первый,first
потерянный,lost
рука,hand
премьера,first
CET-,side
власть,power
Старый,old
быть,be
брать,here
утро,morning
такой,so much
ребенок,child
точка,point
пришел,came
продолжение,after
Прости,sorry
приходить,come
до,in front of
к,towards
минут,minutes
спросил,request
спальная комната,bedroom
помещать,placed
Прекрасный,beautiful
закон,law
хотел бы,would like to
сегодня,today
муж,husband
причина,cause
наконец,finally
надеяться,hope
вода,water
ждать,Wait
осталось,left
Новый,new
Гиг,job
остановка,Stop
сказал бы,would say
земной шар,Earth
учетная запись,account
дано,given
далеко,far
конец,end
верить,believe
грудь,sweetheart
толстый,large
скорее,rather
буду иметь,will have
девушки,girls
игрок,to play
офис,office
